City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
223,pucallpa,-8.3791,-74.5539,27.02,78,40,3.6,PE,1707614055
224,atuntaqui,0.3333,-78.2167,13.86,92,12,1.59,EC,1707614055
225,cu chi,10.9667,106.4667,25.01,59,6,3.53,VN,1707614055
226,alofi,-19.0595,-169.9187,27.57,80,100,6.01,NU,1707614055
227,weinan,34.5036,109.5089,3.74,52,0,1.87,CN,1707614056
228,penugonda,16.6667,81.7333,19.73,96,3,2.52,IN,1707614056
229,aktau,43.65,51.2,2.32,73,98,3.27,KZ,1707614056
230,jingdezhen,29.2947,117.2079,9.5,78,0,0.75,CN,1707614056
231,kirakira,-10.4544,161.9205,28.74,77,100,6.51,SB,1707614056
232,castelsarrasin,44.0833,1.0,8.98,82,97,8.88,FR,1707614056
233,villa regina,-39.1,-67.0667,28.09,37,8,2.4,AR,1707614056
234,sagar,23.8333,78.7167,12.1,41,0,2.97,IN,1707614056
235,marang,5.2056,103.2059,25.07,85,84,2.2,MY,1707614056
236,mukalla,14.5425,49.1242,22.85,76,90,1.72,YE,1707614057
237,langres,47.8333,5.3333,5.11,87,100,4.89,FR,1707614057
238,xunchang,28.4543,104.715,9.79,67,10,0.31,CN,1707614057
239,parry sound,45.3501,-80.033,2.03,75,99,5.47,CA,1707614057
240,homer,59.6425,-151.5483,3.22,80,100,4.47,US,1707613814
241,argo,37.6333,22.7333,12.39,71,100,3.67,GR,1707614057
242,belle chasse,29.8549,-89.9906,22.99,84,20,5.14,US,1707614057
243,zaigrayevo,51.8336,108.2703,-17.92,98,100,0.63,RU,1707614057
244,chul'man,56.8479,124.9104,-24.43,100,100,2.21,RU,1707614057
245,tidjikja,18.5564,-11.4271,22.92,9,0,4.91,MR,1707614058
246,prince edward,44.0001,-77.2495,4.97,73,35,2.68,CA,1707614058
247,invercargill,-46.4,168.35,13.34,71,100,4.47,NZ,1707614058
248,lerwick,60.1545,-1.1494,4.0,96,100,13.02,GB,1707614058
249,palmas,-10.2128,-48.3603,23.93,94,75,1.03,BR,1707614058
250,sao jose da coroa grande,-8.8978,-35.1478,26.33,82,100,3.73,BR,1707614058
251,san clemente del tuyu,-36.3569,-56.7235,23.32,94,4,3.23,AR,1707614058
252,weno,7.4515,151.8468,29.97,70,75,6.17,FM,1707614058
253,catabola,-12.15,17.2833,17.29,94,100,0.69,AO,1707614059
254,kyakhulay,42.9684,47.483,11.36,47,21,1.79,RU,1707614059
255,ola,59.5833,151.2833,-21.79,74,100,3.57,RU,1707614059
256,palmer,42.1584,-72.3287,10.23,82,40,0.0,US,1707614059
257,quellon,-43.1167,-73.6167,12.1,90,100,1.97,CL,1707614059
258,porto novo,6.4965,2.6036,26.17,91,84,3.66,BJ,1707614059
259,berbera,10.4396,45.0143,25.23,82,0,2.69,SO,1707614059
260,vadso,70.0744,29.7487,-12.91,85,100,6.69,NO,1707614059
261,otjiwarongo,-20.4637,16.6477,21.61,70,100,1.69,NA,1707614059
262,ancud,-41.8697,-73.8203,12.94,92,90,2.82,CL,1707614060
263,kyshtovka,56.555,76.6271,-17.03,94,100,4.02,RU,1707614060
264,san andres,12.5847,-81.7006,26.93,76,14,7.92,CO,1707614060
265,newman,37.3138,-121.0208,13.41,60,0,1.79,US,1707614060
266,clinton,42.587,-82.9199,3.29,72,100,6.17,US,1707614060
267,castillos,-34.1667,-53.8333,23.26,96,99,4.42,UY,1707614060
268,fortuna,40.5982,-124.1573,12.18,87,0,2.06,US,1707614060
269,ouargla,31.9493,5.325,15.53,38,7,3.36,DZ,1707614060
270,sebastopol,44.6,33.5333,11.67,57,100,2.24,UA,1707614060
271,kolonia town,6.964,158.206,31.06,70,75,6.17,FM,1707614061
272,kachug,53.9606,105.8817,-10.3,95,100,0.61,RU,1707614061
273,namsos,64.4662,11.4957,-6.97,67,19,8.23,NO,1707614061
274,stansbury park,40.6377,-112.2961,1.85,70,100,3.09,US,1707614061
275,broken hill,-31.95,141.4333,31.16,27,6,4.05,AU,1707613864
276,saint-joseph,-21.3667,55.6167,24.21,83,89,4.39,RE,1707614061
277,sorong,-0.8833,131.25,29.05,73,68,3.75,ID,1707614061
278,jackson,42.4165,-122.8345,12.23,61,0,0.89,US,1707614020
279,mount isa,-20.7333,139.5,33.87,43,13,2.57,AU,1707614061
280,sinan,34.8262,126.1086,6.02,62,19,7.0,KR,1707614061
281,taltal,-25.4,-70.4833,21.31,82,24,2.11,CL,1707614061
282,egilsstadir,65.2653,-14.3948,-3.05,86,75,2.57,IS,1707614062
283,dunedin,-45.8742,170.5036,14.33,54,100,2.68,NZ,1707614062
284,georgetown,5.4112,100.3354,27.96,65,20,3.09,MY,1707614062
285,kamloops,50.6665,-120.3192,1.99,79,100,3.09,CA,1707614062
286,belyy yar,53.6039,91.3903,-1.06,86,0,5.0,RU,1707614062
287,odienne,9.51,-7.5692,24.84,15,0,0.91,CI,1707614062
288,beloyarskiy,63.7119,66.6722,-26.67,97,86,2.68,RU,1707614062
289,liwale,-9.7667,37.9333,22.49,99,100,1.77,TZ,1707614062
290,tsiombe,-25.3,45.4833,24.43,91,1,1.73,MG,1707614063
291,torghay,49.6339,63.4981,-19.68,95,6,3.31,KZ,1707614063
292,saldanha,-33.0117,17.9442,17.95,80,0,6.15,ZA,1707614063
293,nishinoomote,30.7333,131.0,12.33,62,80,9.65,JP,1707614063
294,atafu village,-8.5421,-172.5159,27.46,85,100,8.77,TK,1707614063
295,acapulco de juarez,16.8634,-99.8901,26.9,74,20,6.69,MX,1707613821
296,lospalos,-8.5186,127.0025,27.39,75,93,5.78,TL,1707614063
297,al qubbah,32.7616,22.2424,11.97,38,100,11.27,LY,1707614063
298,lyantor,61.6195,72.1555,-21.7,96,95,6.69,RU,1707614064
299,colonia menno,-22.3667,-59.8167,25.98,80,100,5.32,PY,1707614064
300,mount gambier,-37.8333,140.7667,27.87,27,0,1.85,AU,1707614064
301,mejit,10.2753,170.8646,26.28,74,100,8.52,MH,1707614064
302,altpinar,39.2042,32.7478,5.92,77,100,2.73,TR,1707614064
303,aral,40.5156,81.2636,0.05,52,15,2.62,CN,1707614064
304,laguna larga,-31.7765,-63.801,25.22,74,22,2.86,AR,1707614064
305,mao,39.8885,4.2658,9.31,93,40,2.06,ES,1707613817
306,guatire,10.4762,-66.5427,22.97,96,41,1.54,VE,1707614064
307,kingston,17.997,-76.7936,24.56,82,88,0.45,JM,1707613792
308,guozhen,34.3659,107.359,5.11,49,0,0.49,CN,1707614065
309,sitka,57.0531,-135.33,6.94,76,100,4.63,US,1707614065
310,wanning,18.8003,110.3967,17.42,72,100,4.75,CN,1707614065
311,gadzhiyevo,69.2551,33.3362,-8.24,80,100,4.37,RU,1707614065
312,madalena,41.2162,-8.3345,9.14,90,100,1.67,PT,1707614065
313,sao joao da barra,-21.6403,-41.0511,24.07,87,12,3.16,BR,1707614065
314,alamogordo,32.8995,-105.9603,5.12,82,100,3.6,US,1707613854
315,lihue,21.9789,-159.3672,26.58,77,75,3.09,US,1707614065
316,tomakomai,42.6369,141.6033,-1.57,86,75,5.14,JP,1707614065
317,udachny,66.4167,112.4,-40.31,58,100,1.8,RU,1707614065
318,paracatu,-17.2222,-46.8747,20.31,97,100,1.37,BR,1707614066
319,port moresby,-9.4431,147.1797,29.68,70,40,2.57,PG,1707614066
320,port macquarie,-31.4333,152.9167,23.83,85,56,5.21,AU,1707613867
321,morondava,-20.2833,44.2833,27.48,82,100,2.49,MG,1707614066
322,kalampaka,39.7044,21.6269,10.1,79,100,2.42,GR,1707614066
323,shijiazhuang,38.0414,114.4786,3.43,47,5,3.31,CN,1707614066
324,talnakh,69.4865,88.3972,-28.64,87,95,1.72,RU,1707614066
325,acarau,-2.8856,-40.12,25.91,88,100,4.27,BR,1707614066
326,santo antonio do ica,-3.1022,-67.9397,24.86,96,100,0.89,BR,1707614066
327,itoman,26.1247,127.6694,18.94,51,40,7.72,JP,1707614066
328,hotaka,36.3396,137.8825,3.06,74,7,0.7,JP,1707614067
329,buckhannon,38.994,-80.232,14.09,84,75,1.54,US,1707614067
330,plettenberg bay,-34.0527,23.3716,14.38,80,100,1.3,ZA,1707614067
331,vanimo,-2.6741,141.3028,29.12,73,100,0.91,PG,1707614067
332,francistown,-21.17,27.5079,21.93,80,13,8.94,BW,1707614067
333,sao vicente,-23.9631,-46.3919,27.75,49,61,3.58,BR,1707613921
334,dalandzadgad,43.5708,104.425,-11.82,72,0,2.4,MN,1707614067
335,mossel bay,-34.1831,22.146,18.21,72,95,3.99,ZA,1707614067
336,extrema,-22.8547,-46.3183,18.91,87,92,1.81,BR,1707614067
337,buldana,20.5333,76.1833,17.89,56,0,0.94,IN,1707614068
338,le port,-20.9373,55.2919,24.98,78,81,3.39,RE,1707613845
339,nemuro,43.3236,145.575,-3.05,91,100,7.53,JP,1707614068
340,palikir - national government center,6.9248,158.1611,30.47,70,75,6.17,FM,1707614068
341,caala,-12.8525,15.5606,16.05,94,100,0.25,AO,1707614068
342,brisas de zicatela,15.8369,-97.0419,27.29,61,40,2.57,MX,1707614068
343,sibolga,1.7427,98.7792,25.65,79,17,1.84,ID,1707614068
344,alice springs,-23.7,133.8833,32.75,38,52,4.63,AU,1707613954
345,albufeira,37.0882,-8.2503,12.79,83,100,0.58,PT,1707614068
346,kupang,-10.1667,123.5833,28.32,89,75,1.54,ID,1707614068
347,afaahiti,-17.75,-149.2833,25.93,92,100,15.85,PF,1707614068
348,ta`u,-14.2336,-169.5144,28.54,81,100,6.27,AS,1707614069
349,carnarvon,-24.8667,113.6333,32.91,36,0,5.02,AU,1707614069
350,keflavik,64.0049,-22.5624,1.24,80,75,8.75,IS,1707614069
351,wiset chaichan,14.5945,100.3382,23.99,46,72,5.68,TH,1707614069
352,mwinilunga,-11.7358,24.4293,17.11,99,100,1.9,ZM,1707614069
353,xiongzhou,25.1167,114.3,11.17,60,0,1.29,CN,1707614069
354,saudarkrokur,65.7461,-19.6394,-7.7,85,100,2.86,IS,1707614069
355,celestun,20.8667,-90.4,23.47,83,11,4.22,MX,1707614069
356,valandovo,41.3169,22.5611,10.97,74,100,3.48,MK,1707614070
357,bhimunipatnam,17.8833,83.4333,22.73,86,8,2.77,IN,1707614070
358,dwarka,22.2394,68.9678,20.92,51,0,5.75,IN,1707614070
359,boyabat,41.4689,34.7667,9.48,68,100,0.33,TR,1707614070
360,timbuktu,16.7735,-3.0074,22.02,8,0,2.74,ML,1707614070
361,iskateley,67.6803,53.1512,-27.21,100,95,3.13,RU,1707614070
362,north haven,41.3909,-72.8595,11.57,88,100,0.45,US,1707614070
